publisher_id,publisher_name,channel,channel_id,custom_url,language,category,language_id,category_id
5001,ANI,ANI,UCtFQDgA8J8_iiwc5-KoAQlg,@aninewsindia,English,news,1,13
5014,GoNews,Go News,UCT701YsERryYrQ1Sz8XEGaA,@gonewsindia,Hindi,news,2,13
9011,News18 Odia,News18 Odia,UCUK49UvmYWYLiB7_bZFuFZQ,@News18Odia,Odia,news,11,13
9013,News18 Bihar,News18 Bihar,UC531MlZA5LUbeGwEN_zcppw,@News18BiharJharkhand,Hindi,news,2,13
9015,CNBC Awaaz,CNBC - Aawaz,UCQIycDaLsBpMKjOCeaKUYVg,@cnbcawaaz,Hindi,business,2,17
9021,Lallantop,Lallantop,UCx8Z14PpntdaxCt2hakbQLQ,@thelallantop,Hindi,news,2,13
9022,Gambheer Samachar,Gambheer Samachar,UC-wJEUi0GKw2RxqkX1AeYww,@gambheersamachar6118,Hindi,news,2,13
9023,Sharmila Showhouse,Sharmila Showhouse,UC633Fg3rXkVNw1e7ZORWHuw,@SharmilaShowhouse,Bangla,news,7,13
9025,India Blooms,India Blooms,UCHSDSUSK6IHrXrA9902SjeQ,@indiabloomsnewsservice1741,English,news,1,13
9036,KidzByte,KidzByte,UCIb-YoV_cDOd7Og2zKKOZsA,@kidzbytetv,English,news,1,13
9037,Campaigncalling media,Campaigncalling media,UCrp7axFgr0WTbFWybKFKZlQ,@CampaigncallingMedia,Bangla,news,7,13
9047,Bollywood Tadka Punjabi,Bollywood Tadka Punjabi,UCEkRUp2K6bC2o9ZX5fy8scw,@BollywoodTadkaPunjabi,Punjabi,news,12,13
9048,Jagbani,Jagbani,UCCdck7pTS5H4SR2VZw_O96A,@jagbanipb,Punjabi,news,12,13
9049,Kundli TV,Kundli TV,UCSZTbcYy4uoo8Y1rEzxpRgQ,@kundlitv,Hindi,astrology,2,22
9055,xBhp,xBhp,UCOaCnLXp374Z_8DhU9-OkPA,@xBhpvideos,English,automotive,1,10
9057,Viral Marathi,Viral Marathi,UCpF1JHDWGyYkMdo7RgTTOYA,@newsviralmarathi,Marathi,news,4,13
9058,Fit Tuber English,Fit Tuber English,UCYC6Vcczj8v-Y5OgpEJTFBw,@FitTuber,English,health,1,8
9059,Fit Tuber Hindi,Fit Tuber Hindi,UCDWVNwQce16D16tPc5NBYlQ,@FitTuberHindi,Hindi,health,2,8
9060,Car India Magazine,Car India Magazine,UC76ZHFf0mAD8-DaqEln3aSA,@CarIndiamagazine,English,news,1,13
9064,Khooni Monday,Khooni Monday,UCz67TNWBqU38S8VRvjDO2wg,@khoonimonday,Hindi,entertainment,2,3
9068,NDTV India,NDTV India,UC9CYT9gSNLevX5ey2_6CK0Q,@ndtvindia,Hindi,news,2,13
9069,Tech Travel Eat by Sujith Bhakthan,Tech Travel Eat by Sujith Bhakthan,UCeoRAN5sr02w8_9aFWxIM4g,@TechTravelEat,Malayalam,news,10,13
9071,Sanjeev Kapoor Khazana,Sanjeev Kapoor Khazana,UCmoX4QULJ9MB00xW4coMiOw,@sanjeevkapoorkhazana,English,food,1,9
9081,Nakkheeran TV,Nakkheeran TV,UCdMtj4CiqlZTgzFT5FdDd7A,@NakkheeranTV,Tamil,news,6,13
9082,Nakkheeran 360,Nakkheeran 360,UCmDQCesLnfGrZy4c7mCg50w,@Nakkheeran360,Tamil,news,6,13
9087,Mumbai Indians,Mumbai Indians,UCl23mvQ3321L7zO6JyzhVmg,@mumbaiindians,English,cricket,1,18
9099,Jagran Josh,Jagran Josh,UCYXYA4wnUN79uwxUe0NAW9Q,@jagranjosh,Hindi,business,2,17
9103,Jagran HiTech,Jagran HiTech,UCmQjwvkaB6MPobHnkNKtJJQ,@JagranHiTech,Hindi,technology,2,14
9107,Car Dekho,Powerdrift,UCMDV6J2hWXet7ZCfgrXGgeg,@powerdriftofficial,English,automotive,1,10
9125,NYOOOZ UP-Uttarakhand,NYOOOZ UP-Uttarakhand,UCIowS6bvyA8gD4X5J0E-yEw,@nyooozhindi,Hindi,news,2,13
9133,Asset Yogi,Asset Yogi,UCsNxHPbaCWL1tKw2hxGQD6g,@assetyogi,Hindi,business,2,17
9135,Krushinama,Krushinama,UCNgsCNv1UBvVzAZAtdpzHoA,@krushinama,Marathi,agro,4,51
9136,InShorts Marathi,InShorts Marathi,UChZR5ps6cv7BdKIAaJhqhTA,@inshortsmarathi,Marathi,news,4,13
9137,Maharashtra Desha,Maharashtra Desha,UCQfL0-rUF8ieDoj6aBTCclQ,@mahadesha,Marathi,news,4,13
9138,Mayapuri Cut,Mayapuri Cut,UCC4SQSLUUm0X3lSwu-hwk-A,@mayapuricut,Hindi,entertainment,2,3
9139,Bollyy TV,Bollyy TV,UCAmyPudRjUAtqB-hef84cKA,@bollyytv,Hindi,entertainment,2,3
9140,Ranveer Brar,Ranveer Brar,UCEHCDn_BBnk3uTK1M64ptyw,@RanveerBrar,Hindi,food,2,9
9146,Astrologer Bejan Daruwalla,Astrologer Bejan Daruwalla,UCAHnJF081UOJtLjtV5TUblg,@bejandaruwallaofficial,Hindi,astrology,2,22
